Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Sweet Emotion,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,Classic Rock
Back In Black,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,Classic Rock
Dust in the Wind,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,Classic Rock
Only the Good Die Young,0.579,0.872,0,-6.126,1,0.159,0.159,0,0.0935,0.761,76.214,Classic Rock
Mr. Blue Sky,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73E-06,0.248,0.478,177.765,Classic Rock
Keep on Loving You,0.316,0.739,0,-5.843,1,0.0338,0.036,0,0.187,0.371,174.903,Classic Rock
Alive,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,Classic Rock
Me and Bobby McGee,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84E-05,0.152,0.66,93.405,Classic Rock
Whole Lotta Love - 1990 Remaster,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,Classic Rock
Barracuda,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,Classic Rock
Use Somebody,0.265,0.758,0,-5.383,1,0.0464,0.00297,0.000232,0.154,0.169,137.079,Classic Rock
Hells Bells,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,Classic Rock
Crazy Train,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,Classic Rock
London Calling - Remastered,0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769,Classic Rock
Purple Haze,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,Classic Rock
Walk This Way,0.653,0.73,5,-10.613,1,0.043,0.0114,1.03E-05,0.0754,0.894,108.705,Classic Rock
Walk On the Wild Side,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,Classic Rock
Take Me Home Tonight,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41E-06,0.0942,0.748,132.699,Classic Rock
Cum on Feel the Noize,0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,Classic Rock
Smokin',0.197,0.796,2,-7.335,1,0.0645,0.000541,0.417,0.187,0.522,175.02,Classic Rock
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",0.338,0.887,2,-8.873,1,0.0438,0.00962,0.011,0.556,0.399,206.255,Classic Rock
You Make My Dreams (Come True),0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,Classic Rock
Bohemian Rhapsody - 2011 Remaster,0.392,0.398,0,-9.973,0,0.0515,0.256,0,0.195,0.236,143.587,Classic Rock
All the Young Dudes,0.429,0.668,4,-7.539,0,0.044,0.208,0,0.538,0.398,77.737,Classic Rock
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",0.488,0.777,9,-12.658,1,0.0894,0.153,0.0312,0.825,0.481,81.437,Classic Rock
Life in the Fast Lane - 2013 Remaster,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94E-05,0.0523,0.883,109.535,Classic Rock
